Date:Points:Rank
26-Apr-23:639.97/850:296499
26-Apr-23:649.97/850:291545
27-Apr-23:689.97/850:273393
27-Apr-23:709.97/850:265159
27-Apr-23:719.97/850:261163
27-Apr-23:734.97/850:255544
27-Apr-23:744.97/850:251922
2-May-23:874.97/2200:202142
9-May-23:917.97/2200:183388
9-May-23:937.97/2200:176469
9-May-23:972.97/2200:166029
1-Jun-23:992.97/2200:161372
21-Aug-23:2083.95/2200:48788
23-AUG-23:2118.95/2200:47681
24-Aug-23:2183.95/2200:46058
25-AUG-23:2188.95/2200:45836
26-AUG-2023:2248.95:39935
28-AUG-2023:2278.95:37947
30-AUG-2023:2295.41:37030
31-AUG-2023:2300.41:36752
2-SEP-2023:2340.41:34738
14-SEP-2023:2365.41:33735
16-SEP-2023:2395.41:32533
19-SEP-2023:2415.41:31805
8-Oct-2023:2463.54:30188
15-Oct-2023:2468.54:30042
16-Oct-2023:2481.48:29655
16-Oct-2023:2536.48:27983
