Date:Points:Rank
13-Apr-2022:370/450:272438
19-Apr-2022:475/650:198980
5-May-2022:615/650:126941
4-Oct-2022:715:82469
8-Feb-23:795:63272
27-Apr-23:795:67593
9-May-23:835:58441
1-Jun-23:835:59304
