Date:Points:Rank
13-Apr-2022:385:8309
19-Apr-2022:455:6402
5-May-2022:580:4263
1-Jun-2022:605:3963
15-Jul-2022:662.69:3469
8-Feb-2023:761.27:2912
10-Feb-2023:777.94:2810
13-Mar-2023:779.36:2829
14-Mar-2023:783.36:2799
27-Apr-2023:803.36:2712
9-May-2023:803.36:2722
9-May-2023:833.36:2563
1-Jun-23:833.36:2573
